橋梁ID,点検年1,BCI1,点検年2,BCI2,
115,1959,100,2001,75,42
115,2001,75,2002,75,1
115,2002,75,2004,74.3,2
115,2008,75,2010,75,2
115,2010,75,2012,74.7,2
115,2012,74.7,2014,74.6,2
115,2014,74.6,2016,74.6,2
116,1969,100,2001,84.7,32
116,2001,84.7,2002,71.1,1
116,2002,71.1,2004,69.9,2
116,2006,70,2008,69.9,2
116,2010,70.8,2012,70.4,2
116,2012,70.4,2014,69.7,2
116,2014,69.7,2016,69.2,2
117,1979,100,2006,74.6,27
117,2006,74.6,2008,74.2,2
117,2008,74.2,2010,74.2,2
117,2010,74.2,2012,74.1,2
117,2012,74.1,2014,74.1,2
117,2014,74.1,2016,73.7,2
118,1980,100,2006,74.9,26
118,2006,74.9,2008,74.6,2
118,2008,74.6,2010,74.6,2
118,2010,74.6,2012,74.6,2
118,2012,74.6,2014,74.4,2
118,2014,74.4,2016,73.9,2
119,1978,100,2001,75,23
119,2001,75,2002,75,1
119,2002,75,2004,74.2,2
119,2006,74.4,2008,74.2,2
119,2008,74.2,2010,73.8,2
119,2010,73.8,2012,72.7,2
119,2012,72.7,2014,72.5,2
120,1978,100,2001,96,23
120,2001,96,2002,96,1
120,2002,96,2004,75,2
120,2004,75,2006,75,2
120,2006,75,2008,75,2
120,2008,75,2010,75,2
120,2010,75,2012,74.6,2
120,2012,74.6,2014,74.5,2
120,2014,74.5,2016,74.5,2
121,2001,66.9,2002,66.9,1
121,2002,66.9,2004,58.9,2
121,2006,100,2008,100,2
121,2008,100,2010,91.5,2
121,2012,92.1,2014,90.2,2
121,2014,90.2,2016,88.2,2
122,1960,100,2001,68,41
122,2002,75,2004,69,2
122,2006,71.9,2008,71.9,2
122,2008,71.9,2010,71.8,2
122,2010,71.8,2012,71.6,2
122,2012,71.6,2014,71.5,2
122,2014,71.5,2016,71.5,2
123,1960,100,2001,68,41
123,2002,75,2004,67.6,2
123,2006,68.3,2008,67,2
123,2008,67,2010,66.4,2
123,2010,66.4,2012,64.4,2
123,2012,64.4,2014,63.7,2
123,2014,63.7,2016,63.7,2
124,1960,100,2001,68,41
124,2002,75,2004,67,2
124,2004,67,2006,66.4,2
124,2008,69,2010,68,2
124,2010,68,2012,68,2
124,2012,68,2014,67.5,2
124,2014,67.5,2016,67.1,2
125,1976,100,2001,67.7,25
125,2002,74,2004,63.4,2
125,2004,63.4,2006,62,2
125,2006,62,2008,61.2,2
125,2010,61.6,2012,59.3,2
125,2012,59.3,2014,58.7,2
125,2014,58.7,2016,58.6,2
126,1960,100,2005,66.1,45
126,2008,73.7,2010,71.2,2
126,2010,71.2,2012,71.1,2
126,2012,71.1,2014,70.7,2
126,2014,70.7,2016,70.4,2
127,2001,74.1,2003,72.5,2
127,2007,100,2009,99.9,2
