lable,Sample ID,Inspection Time of Prestate,Inspection Time of PostState IRI,Pre-State IRI,Post-State IRI,Inspection Post time for Sneff,Sneff ,,,Construction year,Functional inspection year,Structural inspection year,Number of samples,&,,,,,,,,
1,184,2009,2021,1,1.108051495,2017,3.555309792,2009&2021&2017,,,,,,,,,,,,,,
1,185,2009,2021,1,1.31072873,2017,2.570624805,2009&2021&2017,,,,,,,,,,,,,,
1,186,2009,2021,1,1.766350735,2017,3.142597424,2009&2021&2017,,,,,,,,,,,,,,
1,187,2009,2021,1,2.105530476,2017,2.971204239,2009&2021&2017,,,,,,,,,,,,,,
1,188,2009,2021,1,1.589835615,2017,3.440687476,2009&2021&2017,,,,,,,,,,,,,,
1,189,2009,2021,1,1.97789405,2017,3.282080182,2009&2021&2017,,,,,,,,,,,,,,
1,190,2009,2021,1,1.60680267,2017,3.233347411,2009&2021&2017,,,,,,,,,,,,,,
1,191,2009,2021,1,1.635203911,2017,3.039275682,2009&2021&2017,,,,,,,,,,,,,,
1,192,2009,2021,1,1.300229913,2017,2.407149075,2009&2021&2017,,,,,,,,,,,,,,
1,193,2009,2021,1,1.081186777,2017,3.472867922,2009&2021&2017,,,,,,,,,,,,,,
1,194,2009,2021,1,1.17680253,2017,3.254000981,2009&2021&2017,,,,,,,,,,,,,,
1,195,2009,2021,1,2.486297805,2017,2.693037196,2009&2021&2017,,,,,,,,,,,,,,
1,196,2009,2021,1,1.299830051,2017,2.940718166,2009&2021&2017,,,,,,,,,,,,,,
1,197,2009,2021,1,1.404255475,2017,3.252903819,2009&2021&2017,,,,,,,,,,,,,,
1,198,2009,2021,1,1.653463397,2017,3.254473026,2009&2021&2017,,,,,,,,,,,,,,
1,199,2009,2021,1,1.094352504,2017,3.099102607,2009&2021&2017,,,,,,,,,,,,,,
1,200,2009,2021,1,1.284978517,2017,3.733459932,2009&2021&2017,,,,,,,,,,,,,,
1,201,2009,2021,1,1.880759395,2017,3.299278175,2009&2021&2017,,,,,,,,,,,,,,
1,202,2009,2021,1,1.473974799,2017,4.034670879,2009&2021&2017,,,,,,,,,,,,,,
1,203,2009,2021,1,1.237772116,2017,4.541552095,2009&2021&2017,,,,,,,,,,,,,,
1,204,2009,2021,1,0.924601439,2017,3.383021395,2009&2021&2017,,,,,,,,,,,,,,
1,205,2009,2021,1,1.308367939,2017,4.165428079,2009&2021&2017,,,,,,,,,,,,,,
1,206,2009,2021,1,1.04523712,2017,3.101955188,2009&2021&2017,,,,,,,,,,,,,,
1,207,2009,2021,1,1.12729086,2017,3.735939548,2009&2021&2017,,,,,,,,,,,,,,
1,208,2009,2021,1,1.117179591,2017,3.203674356,2009&2021&2017,,,,,,,,,,,,,,
1,209,2009,2021,1,1.48248051,2017,4.028896434,2009&2021&2017,,,,,,,,,,,,,,
1,210,2009,2021,1,1.698434441,2017,2.881961507,2009&2021&2017,,,,,,,,,,,,,,
1,211,2009,2021,1,1.217675117,2017,3.535726362,2009&2021&2017,,,,,,,,,,,,,,
1,212,2009,2021,1,1.619939448,2017,2.900582196,2009&2021&2017,,,,,,,,,,,,,,
1,213,2009,2021,1,1.088115692,2017,3.969545185,2009&2021&2017,,,,,,,,,,,,,,
1,214,2009,2021,1,1.659450059,2017,3.595485436,2009&2021&2017,,,,,,,,,,,,,,
1,215,2009,2021,1,1.730627893,2017,3.681543606,2009&2021&2017,,,,,,,,,,,,,,
1,216,2009,2021,1,1.217321704,2017,3.676467797,2009&2021&2017,,,,,,,,,,,,,,
1,217,2009,2021,1,1.521972854,2017,4.028587331,2009&2021&2017,,,,,,,,,,,,,,
1,218,2009,2021,1,2.082049648,2017,3.556418825,2009&2021&2017,,,,,,,,,,,,,,
1,219,2009,2021,1,1.349166766,2017,4.430945809,2009&2021&2017,,,,,,,,,,,,,,
1,220,2009,2021,1,1.029088833,2017,3.76876711,2009&2021&2017,,,,,,,,,,,,,,
1,221,2009,2021,1,1.838999469,2017,2.845963198,2009&2021&2017,,,,,,,,,,,,,,
1,222,2009,2021,1,1.265518353,2017,3.539656819,2009&2021&2017,,,,,,,,,,,,,,
1,223,2009,2021,1,1.55248736,2017,3.612881676,2009&2021&2017,,,,,,,,,,,,,,
