経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
19,1,1,1,0.151515152,0.085714286,12923047,2010,1991,1
29,1,1,1,0.242424242,0.357142857,12924001,2010,1981,1
31,1,1,1,0.151515152,0.113238095,12924006,2010,1979,1
31,1,2,1,0.151515152,0.070333333,12924017,2010,1979,1
32,1,3,1,0.242424242,0.134638095,12924027,2011,1979,1
31,1,3,1,0.151515152,0.146857143,12925007,2010,1979,1
31,1,2,1,0.151515152,0.181142857,12925019,2010,1979,1
31,1,2,1,0.151515152,0.156571429,12925027,2010,1979,1
31,1,1,1,0.151515152,0.15252381,12925039,2010,1979,1
31,1,1,1,0.212121212,0.129238095,12925051,2010,1979,1
31,1,1,1,0.151515152,0.151238095,12925063,2010,1979,1
31,1,2,1,0.181818182,0.107380952,12925075,2010,1979,1
31,1,4,1,0.151515152,0.166904762,12926002,2010,1979,1
31,1,2,1,0.151515152,0.207857143,12926016,2010,1979,1
31,1,1,1,0.151515152,0.213619048,12926025,2010,1979,1
31,1,1,1,0.151515152,0.093809524,12926036,2010,1979,1
31,1,1,1,0.151515152,0.143,12926047,2010,1979,1
31,1,2,1,0.151515152,0.172904762,12926058,2010,1979,1
31,1,2,1,0.151515152,0.112095238,12926069,2010,1979,1
31,1,1,1,0.151515152,0.125428571,12926089,2010,1979,1
31,1,3,1,0.151515152,0.14252381,12927006,2010,1979,1
31,1,2,1,0.151515152,0.179714286,12927018,2010,1979,1
31,1,1,1,0.151515152,0.145142857,12927029,2010,1979,1
31,1,2,1,0.151515152,0.161380952,12927034,2010,1979,1
31,1,3,1,0.181818182,0.133333333,12927045,2010,1979,1
31,1,1,1,0.151515152,0.143285714,12927051,2010,1979,1
31,1,2,1,0.151515152,0.114857143,12927063,2010,1979,1
31,1,1,1,0.151515152,0.101,12927075,2010,1979,1
31,1,1,1,0.151515152,0.184666667,12928026,2010,1979,1
31,1,2,1,0.181818182,0.143095238,12928038,2010,1979,1
32,1,1,1,0.151515152,0.135857143,12931004,2010,1978,1
32,1,2,1,0.151515152,0.146619048,12931016,2010,1978,1
32,1,1,1,0.151515152,0.126142857,12931030,2010,1978,1
32,1,2,1,0.151515152,0.118,12931042,2010,1978,1
32,1,3,1,0.151515152,0.176666667,12931053,2010,1978,1
32,1,1,1,0.151515152,0.097809524,12931065,2010,1978,1
32,1,1,1,0.151515152,0.14652381,12931077,2010,1978,1
32,1,1,1,0.151515152,0.128,12931089,2010,1978,1
32,1,1,1,0.151515152,0.127571429,12931096,2010,1978,1
32,1,2,1,0.151515152,0.117666667,12931103,2010,1978,1
32,1,1,1,0.151515152,0.089095238,12932010,2010,1978,1
32,1,1,1,0.151515152,0.127904762,12932028,2010,1978,1
32,1,1,1,0.181818182,0.13652381,12932037,2010,1978,1
18,1,3,1,0.151515152,0.12852381,12932045,2010,1992,1
14,1,1,1,0.151515152,0.202666667,12932053,2010,1996,1
31,1,4,1,0.151515152,0.142761905,12934009,2010,1979,1
31,1,3,1,0.151515152,0.142809524,12934013,2010,1979,1
31,1,1,1,0.151515152,0.139761905,12934022,2010,1979,1
31,1,1,1,0.151515152,0.095190476,12934034,2010,1979,1
31,1,1,1,0.151515152,0.142714286,12934046,2010,1979,1
31,1,2,1,0.151515152,0.093,12935005,2010,1979,1
31,1,3,1,0.151515152,0.116619048,12935017,2010,1979,1
31,1,3,1,0.151515152,0.147,12935040,2010,1979,1
31,1,1,1,0.151515152,0.116761905,12935052,2010,1979,1
31,1,2,1,0.151515152,0.095285714,12935062,2010,1979,1
31,1,1,1,0.151515152,0.118714286,12935074,2010,1979,1
31,1,1,1,0.151515152,0.142904762,12935086,2010,1979,1
31,1,1,1,0.151515152,0.085619048,12935098,2010,1979,1
31,1,3,1,0.151515152,0.161333333,12936018,2010,1979,1
31,1,1,1,0.151515152,0.171714286,12936025,2010,1979,1
31,1,3,1,0.151515152,0.17952381,12937001,2010,1979,1
31,1,2,1,0.151515152,0.172380952,12937003,2010,1979,1
31,1,3,1,0.151515152,0.140095238,12937018,2010,1979,1
31,1,3,1,0.151515152,0.142190476,12937023,2010,1979,1
31,1,1,1,0.151515152,0.17,12937032,2010,1979,1
31,1,1,1,0.151515152,0.094571429,12937040,2010,1979,1
31,1,4,1,0.151515152,0.142380952,12938008,2010,1979,1
31,1,1,1,0.212121212,0.185714286,12938017,2010,1979,1
36,1,1,1,0.151515152,0.098809524,12939007,2010,1974,1
36,1,2,1,0.151515152,0.232857143,12939024,2010,1974,1
36,1,1,1,0.151515152,0.233333333,12939035,2010,1974,1
36,1,1,1,0.151515152,0.09952381,12939039,2010,1974,1
36,1,3,1,0.151515152,0.232857143,12939060,2010,1974,1
32,1,2,1,0.151515152,0.12047619,12941002,2010,1978,1
32,1,1,1,0.151515152,0.127142857,12941024,2010,1978,1
32,1,2,1,0.151515152,0.07,12941036,2010,1978,1
32,1,2,1,0.151515152,0.121333333,12941048,2010,1978,1
32,1,2,1,0.151515152,0.098571429,12941060,2010,1978,1
32,1,1,1,0.151515152,0.089285714,12941072,2010,1978,1
32,1,3,1,0.151515152,0.092857143,12941084,2010,1978,1
16,1,1,1,0.151515152,0.048380952,12941099,2010,1994,1
32,1,1,1,0.151515152,0.134285714,12941101,2010,1978,1
32,1,1,1,0.181818182,0.11752381,12942005,2010,1978,1
32,1,1,1,0.151515152,0.088095238,12942022,2010,1978,1
32,1,2,1,0.151515152,0.127142857,12942028,2010,1978,1
32,1,1,1,0.151515152,1,12942035,2010,1978,1
32,1,2,1,0.242424242,0.187380952,12942040,2010,1978,1
31,1,1,1,0.151515152,0.142619048,12943008,2010,1979,1
31,1,1,1,0.151515152,0.142857143,12944010,2010,1979,1
31,1,1,1,0.151515152,0.142809524,12944026,2010,1979,1
31,1,1,1,0.181818182,0.142619048,12944038,2010,1979,1
31,1,1,1,0.151515152,0.141142857,12944046,2010,1979,1
31,1,3,1,0.151515152,0.111666667,12944057,2010,1979,1
31,1,2,1,0.151515152,0.094238095,12944069,2010,1979,1
31,1,1,1,0.151515152,0.086666667,12944081,2010,1979,1
31,1,1,1,0.151515152,0.068809524,12944090,2010,1979,1
31,1,1,1,0.151515152,0.143904762,12945004,2010,1979,1
31,1,1,1,0.151515152,0.064333333,12945028,2010,1979,1
31,1,2,1,0.151515152,0.126047619,12946009,2010,1979,1
31,1,3,1,0.151515152,0.19047619,12946011,2010,1979,1
31,1,1,1,0.151515152,0.192380952,12946022,2010,1979,1
31,1,1,1,0.151515152,0.171904762,12946043,2010,1979,1
31,1,3,1,0.151515152,0.166190476,12946052,2010,1979,1
31,1,1,1,0.151515152,0.184761905,12947009,2010,1979,1
31,1,3,1,0.151515152,0.178095238,12947029,2010,1979,1
31,1,2,1,0.151515152,0.157619048,12947041,2010,1979,1
31,1,1,1,0.151515152,0.174761905,12947053,2010,1979,1
31,1,4,1,0.151515152,0.155238095,12947063,2010,1979,1
31,1,1,1,0.151515152,0.138095238,12947075,2010,1979,1
37,1,2,1,0.151515152,0.176666667,12947080,2016,1979,1
31,1,3,1,0.151515152,0.213809524,12947084,2010,1979,1
31,1,3,1,0.151515152,0.164761905,12947088,2010,1979,1
